,NAICS,Tax Type,Total Taxable,Units,Year,location_name,location_id,naicstyp
0,11,Sales,"$55,269",14,2018 Quarter 1,Kent/span>,1715,2
1,21,Sales,"$109,110",5,2018 Quarter 1,Kent/span>,1715,2
2,22,Sales,"$1,447,952",9,2018 Quarter 1,Kent/span>,1715,2
3,23,Sales,"$71,162,776","2,244",2018 Quarter 1,Kent/span>,1715,2
4,31,Sales,"$1,946,237",174,2018 Quarter 1,Kent/span>,1715,2
5,32,Sales,"$5,069,322",270,2018 Quarter 1,Kent/span>,1715,2
6,33,Sales,"$5,808,387",352,2018 Quarter 1,Kent/span>,1715,2
7,42,Sales,"$81,978,581","1,901",2018 Quarter 1,Kent/span>,1715,2
8,44,Sales,"$127,741,980","1,671",2018 Quarter 1,Kent/span>,1715,2
9,45,Sales,"$71,336,062","1,617",2018 Quarter 1,Kent/span>,1715,2
10,48,Sales,"$1,194,380",54,2018 Quarter 1,Kent/span>,1715,2
11,49,Sales,"$172,337",12,2018 Quarter 1,Kent/span>,1715,2
12,51,Sales,"$29,541,580",476,2018 Quarter 1,Kent/span>,1715,2
13,52,Sales,"$9,479,363",102,2018 Quarter 1,Kent/span>,1715,2
14,53,Sales,"$25,983,807",347,2018 Quarter 1,Kent/span>,1715,2
15,54,Sales,"$12,300,468",662,2018 Quarter 1,Kent/span>,1715,2
16,55,Sales,D,D,2018 Quarter 1,Kent/span>,1715,2
17,56,Sales,"$23,539,624",858,2018 Quarter 1,Kent/span>,1715,2
18,61,Sales,"$495,128",90,2018 Quarter 1,Kent/span>,1715,2
19,62,Sales,"$153,614",66,2018 Quarter 1,Kent/span>,1715,2
20,71,Sales,"$6,051,784",61,2018 Quarter 1,Kent/span>,1715,2
21,72,Sales,"$57,485,428",339,2018 Quarter 1,Kent/span>,1715,2
22,81,Sales,"$23,774,654",595,2018 Quarter 1,Kent/span>,1715,2
23,92,Sales,"$236,338",8,2018 Quarter 1,Kent/span>,1715,2
24,11,Sales,"$110,175",22,2017 Quarter 4,Kent/span>,1715,2
25,21,Sales,"$21,634",5,2017 Quarter 4,Kent/span>,1715,2
26,22,Sales,"$2,003,192",10,2017 Quarter 4,Kent/span>,1715,2
27,23,Sales,"$81,373,692","2,378",2017 Quarter 4,Kent/span>,1715,2
28,31,Sales,"$2,169,655",215,2017 Quarter 4,Kent/span>,1715,2
29,32,Sales,"$5,536,558",293,2017 Quarter 4,Kent/span>,1715,2
30,33,Sales,"$5,933,422",441,2017 Quarter 4,Kent/span>,1715,2
31,42,Sales,"$86,623,489","2,081",2017 Quarter 4,Kent/span>,1715,2
32,44,Sales,"$129,674,946","2,164",2017 Quarter 4,Kent/span>,1715,2
33,45,Sales,"$83,885,643","2,753",2017 Quarter 4,Kent/span>,1715,2
34,48,Sales,"$1,398,473",66,2017 Quarter 4,Kent/span>,1715,2
35,49,Sales,"$275,727",16,2017 Quarter 4,Kent/span>,1715,2
36,51,Sales,"$30,637,705",535,2017 Quarter 4,Kent/span>,1715,2
37,52,Sales,"$11,539,776",100,2017 Quarter 4,Kent/span>,1715,2
38,53,Sales,"$31,309,658",376,2017 Quarter 4,Kent/span>,1715,2
39,54,Sales,"$14,000,677",867,2017 Quarter 4,Kent/span>,1715,2
40,55,Sales,"$5,419",3,2017 Quarter 4,Kent/span>,1715,2
41,56,Sales,"$15,538,340",989,2017 Quarter 4,Kent/span>,1715,2
42,61,Sales,"$596,686",121,2017 Quarter 4,Kent/span>,1715,2
43,62,Sales,"$323,920",80,2017 Quarter 4,Kent/span>,1715,2
44,71,Sales,"$5,959,175",109,2017 Quarter 4,Kent/span>,1715,2
45,72,Sales,"$57,812,009",362,2017 Quarter 4,Kent/span>,1715,2
46,81,Sales,"$23,085,752",731,2017 Quarter 4,Kent/span>,1715,2
47,92,Sales,"$296,604",9,2017 Quarter 4,Kent/span>,1715,2
48,99,Sales,D,D,2017 Quarter 4,Kent/span>,1715,2
49,11,Sales,"$196,648",27,2016 Quarter 4,Kent/span>,1715,2
50,21,Sales,"$8,533",5,2016 Quarter 4,Kent/span>,1715,2
