,NAICS,Tax Type,Total Taxable,Units,Year,location_name,location_id,naicstyp
0,21,Sales,D,D,2018 Quarter 1,Toppenish/span>,3910,2
1,22,Sales,"$39,079",3,2018 Quarter 1,Toppenish/span>,3910,2
2,23,Sales,"$1,590,209",150,2018 Quarter 1,Toppenish/span>,3910,2
3,31,Sales,"$31,985",9,2018 Quarter 1,Toppenish/span>,3910,2
4,32,Sales,"$95,917",28,2018 Quarter 1,Toppenish/span>,3910,2
5,33,Sales,"$177,589",24,2018 Quarter 1,Toppenish/span>,3910,2
6,42,Sales,"$1,657,478",308,2018 Quarter 1,Toppenish/span>,3910,2
7,44,Sales,"$7,392,134",297,2018 Quarter 1,Toppenish/span>,3910,2
8,45,Sales,"$2,088,036",336,2018 Quarter 1,Toppenish/span>,3910,2
9,48,Sales,D,D,2018 Quarter 1,Toppenish/span>,3910,2
10,49,Sales,"$14,460",3,2018 Quarter 1,Toppenish/span>,3910,2
11,51,Sales,"$1,629,500",131,2018 Quarter 1,Toppenish/span>,3910,2
12,52,Sales,"$106,600",38,2018 Quarter 1,Toppenish/span>,3910,2
13,53,Sales,"$495,755",66,2018 Quarter 1,Toppenish/span>,3910,2
14,54,Sales,"$521,337",86,2018 Quarter 1,Toppenish/span>,3910,2
15,56,Sales,"$326,918",88,2018 Quarter 1,Toppenish/span>,3910,2
16,61,Sales,"$10,846",15,2018 Quarter 1,Toppenish/span>,3910,2
17,62,Sales,"$32,210",6,2018 Quarter 1,Toppenish/span>,3910,2
18,71,Sales,"$14,667",4,2018 Quarter 1,Toppenish/span>,3910,2
19,72,Sales,"$2,231,023",26,2018 Quarter 1,Toppenish/span>,3910,2
20,81,Sales,"$545,447",57,2018 Quarter 1,Toppenish/span>,3910,2
21,92,Sales,"$2,330",4,2018 Quarter 1,Toppenish/span>,3910,2
22,11,Sales,D,D,2017 Quarter 4,Toppenish/span>,3910,2
23,21,Sales,"$168,500",3,2017 Quarter 4,Toppenish/span>,3910,2
24,22,Sales,D,D,2017 Quarter 4,Toppenish/span>,3910,2
25,23,Sales,"$3,289,225",168,2017 Quarter 4,Toppenish/span>,3910,2
26,31,Sales,"$39,977",11,2017 Quarter 4,Toppenish/span>,3910,2
27,32,Sales,"$128,276",38,2017 Quarter 4,Toppenish/span>,3910,2
28,33,Sales,"$406,252",42,2017 Quarter 4,Toppenish/span>,3910,2
29,42,Sales,"$2,722,039",330,2017 Quarter 4,Toppenish/span>,3910,2
30,44,Sales,"$7,470,818",366,2017 Quarter 4,Toppenish/span>,3910,2
31,45,Sales,"$2,180,269",477,2017 Quarter 4,Toppenish/span>,3910,2
32,48,Sales,"$6,214",4,2017 Quarter 4,Toppenish/span>,3910,2
33,49,Sales,"$31,638",3,2017 Quarter 4,Toppenish/span>,3910,2
34,51,Sales,"$1,542,959",139,2017 Quarter 4,Toppenish/span>,3910,2
35,52,Sales,"$198,565",36,2017 Quarter 4,Toppenish/span>,3910,2
36,53,Sales,"$701,662",71,2017 Quarter 4,Toppenish/span>,3910,2
37,54,Sales,"$919,545",107,2017 Quarter 4,Toppenish/span>,3910,2
38,56,Sales,"$265,257",101,2017 Quarter 4,Toppenish/span>,3910,2
39,61,Sales,"$5,709",15,2017 Quarter 4,Toppenish/span>,3910,2
40,62,Sales,"$32,490",7,2017 Quarter 4,Toppenish/span>,3910,2
41,71,Sales,"$23,445",8,2017 Quarter 4,Toppenish/span>,3910,2
42,72,Sales,"$2,289,828",27,2017 Quarter 4,Toppenish/span>,3910,2
43,81,Sales,"$1,021,858",78,2017 Quarter 4,Toppenish/span>,3910,2
44,92,Sales,D,D,2017 Quarter 4,Toppenish/span>,3910,2
45,11,Sales,"$38,839",5,2016 Quarter 4,Toppenish/span>,3910,2
46,21,Sales,D,D,2016 Quarter 4,Toppenish/span>,3910,2
47,22,Sales,"$18,781",4,2016 Quarter 4,Toppenish/span>,3910,2
48,23,Sales,"$2,791,283",153,2016 Quarter 4,Toppenish/span>,3910,2
49,31,Sales,"$33,152",10,2016 Quarter 4,Toppenish/span>,3910,2
50,32,Sales,"$122,607",27,2016 Quarter 4,Toppenish/span>,3910,2
51,33,Sales,"$515,509",30,2016 Quarter 4,Toppenish/span>,3910,2
52,42,Sales,"$2,095,914",310,2016 Quarter 4,Toppenish/span>,3910,2
53,44,Sales,"$6,890,442",300,2016 Quarter 4,Toppenish/span>,3910,2
54,45,Sales,"$1,791,086",416,2016 Quarter 4,Toppenish/span>,3910,2
55,48,Sales,D,D,2016 Quarter 4,Toppenish/span>,3910,2
56,49,Sales,D,D,2016 Quarter 4,Toppenish/span>,3910,2
57,51,Sales,"$1,269,401",129,2016 Quarter 4,Toppenish/span>,3910,2
58,52,Sales,"$137,087",34,2016 Quarter 4,Toppenish/span>,3910,2
59,53,Sales,"$899,791",77,2016 Quarter 4,Toppenish/span>,3910,2
60,54,Sales,"$796,695",102,2016 Quarter 4,Toppenish/span>,3910,2
61,56,Sales,"$259,377",96,2016 Quarter 4,Toppenish/span>,3910,2
62,61,Sales,"$37,096",20,2016 Quarter 4,Toppenish/span>,3910,2
63,62,Sales,"$36,375",6,2016 Quarter 4,Toppenish/span>,3910,2
64,71,Sales,"$20,705",8,2016 Quarter 4,Toppenish/span>,3910,2
65,72,Sales,"$2,148,443",29,2016 Quarter 4,Toppenish/span>,3910,2
66,81,Sales,"$466,320",75,2016 Quarter 4,Toppenish/span>,3910,2
67,92,Sales,"$1,738",3,2016 Quarter 4,Toppenish/span>,3910,2
68,11,Sales,D,D,2016 Quarter 3,Toppenish/span>,3910,2
69,21,Sales,D,D,2016 Quarter 3,Toppenish/span>,3910,2
70,22,Sales,"$41,746",3,2016 Quarter 3,Toppenish/span>,3910,2
71,23,Sales,"$2,927,434",153,2016 Quarter 3,Toppenish/span>,3910,2
72,31,Sales,"$30,419",7,2016 Quarter 3,Toppenish/span>,3910,2
73,32,Sales,"$167,639",28,2016 Quarter 3,Toppenish/span>,3910,2
74,33,Sales,"$186,110",27,2016 Quarter 3,Toppenish/span>,3910,2
75,42,Sales,"$2,496,744",299,2016 Quarter 3,Toppenish/span>,3910,2
76,44,Sales,"$7,966,577",278,2016 Quarter 3,Toppenish/span>,3910,2
77,45,Sales,"$1,851,287",336,2016 Quarter 3,Toppenish/span>,3910,2
78,48,Sales,D,D,2016 Quarter 3,Toppenish/span>,3910,2
79,49,Sales,D,D,2016 Quarter 3,Toppenish/span>,3910,2
80,51,Sales,"$1,092,268",110,2016 Quarter 3,Toppenish/span>,3910,2
81,52,Sales,"$205,422",38,2016 Quarter 3,Toppenish/span>,3910,2
82,53,Sales,"$597,916",71,2016 Quarter 3,Toppenish/span>,3910,2
83,54,Sales,"$472,418",80,2016 Quarter 3,Toppenish/span>,3910,2
84,56,Sales,"$252,599",85,2016 Quarter 3,Toppenish/span>,3910,2
85,61,Sales,"$34,189",17,2016 Quarter 3,Toppenish/span>,3910,2
86,62,Sales,"$35,853",9,2016 Quarter 3,Toppenish/span>,3910,2
87,71,Sales,$505,3,2016 Quarter 3,Toppenish/span>,3910,2
88,72,Sales,"$2,410,868",28,2016 Quarter 3,Toppenish/span>,3910,2
89,81,Sales,"$536,294",62,2016 Quarter 3,Toppenish/span>,3910,2
90,92,Sales,"$7,311",4,2016 Quarter 3,Toppenish/span>,3910,2
91,11,Sales,D,D,2016 Quarter 2,Toppenish/span>,3910,2
92,21,Sales,D,D,2016 Quarter 2,Toppenish/span>,3910,2
93,22,Sales,"$41,081",3,2016 Quarter 2,Toppenish/span>,3910,2
94,23,Sales,"$4,234,292",148,2016 Quarter 2,Toppenish/span>,3910,2
95,31,Sales,"$46,207",12,2016 Quarter 2,Toppenish/span>,3910,2
96,32,Sales,"$212,527",32,2016 Quarter 2,Toppenish/span>,3910,2
97,33,Sales,"$233,866",30,2016 Quarter 2,Toppenish/span>,3910,2
98,42,Sales,"$2,740,544",324,2016 Quarter 2,Toppenish/span>,3910,2
99,44,Sales,"$8,333,076",251,2016 Quarter 2,Toppenish/span>,3910,2
100,45,Sales,"$1,573,691",356,2016 Quarter 2,Toppenish/span>,3910,2
101,48,Sales,D,D,2016 Quarter 2,Toppenish/span>,3910,2
102,51,Sales,"$935,126",116,2016 Quarter 2,Toppenish/span>,3910,2
103,52,Sales,"$111,859",33,2016 Quarter 2,Toppenish/span>,3910,2
104,53,Sales,"$567,556",80,2016 Quarter 2,Toppenish/span>,3910,2
105,54,Sales,"$365,067",80,2016 Quarter 2,Toppenish/span>,3910,2
106,56,Sales,"$462,026",93,2016 Quarter 2,Toppenish/span>,3910,2
107,61,Sales,"$54,866",24,2016 Quarter 2,Toppenish/span>,3910,2
108,62,Sales,"$32,211",7,2016 Quarter 2,Toppenish/span>,3910,2
109,71,Sales,"$6,731",6,2016 Quarter 2,Toppenish/span>,3910,2
110,72,Sales,"$2,369,497",29,2016 Quarter 2,Toppenish/span>,3910,2
111,81,Sales,"$471,044",56,2016 Quarter 2,Toppenish/span>,3910,2
112,92,Sales,"$7,289",3,2016 Quarter 2,Toppenish/span>,3910,2
113,11,Sales,D,D,2016 Quarter 1,Toppenish/span>,3910,2
114,21,Sales,D,D,2016 Quarter 1,Toppenish/span>,3910,2
115,22,Sales,"$10,687",3,2016 Quarter 1,Toppenish/span>,3910,2
116,23,Sales,"$2,184,259",148,2016 Quarter 1,Toppenish/span>,3910,2
117,31,Sales,"$36,979",7,2016 Quarter 1,Toppenish/span>,3910,2
118,32,Sales,"$136,082",33,2016 Quarter 1,Toppenish/span>,3910,2
119,33,Sales,"$147,144",25,2016 Quarter 1,Toppenish/span>,3910,2
120,42,Sales,"$2,560,814",330,2016 Quarter 1,Toppenish/span>,3910,2
121,44,Sales,"$7,118,948",248,2016 Quarter 1,Toppenish/span>,3910,2
122,45,Sales,"$1,592,065",348,2016 Quarter 1,Toppenish/span>,3910,2
123,48,Sales,D,D,2016 Quarter 1,Toppenish/span>,3910,2
124,51,Sales,"$981,813",116,2016 Quarter 1,Toppenish/span>,3910,2
125,52,Sales,"$109,496",35,2016 Quarter 1,Toppenish/span>,3910,2
126,53,Sales,"$445,930",62,2016 Quarter 1,Toppenish/span>,3910,2
127,54,Sales,"$600,884",84,2016 Quarter 1,Toppenish/span>,3910,2
128,56,Sales,"$356,273",95,2016 Quarter 1,Toppenish/span>,3910,2
129,61,Sales,"$15,575",18,2016 Quarter 1,Toppenish/span>,3910,2
130,62,Sales,"$39,215",8,2016 Quarter 1,Toppenish/span>,3910,2
131,71,Sales,"$1,285",3,2016 Quarter 1,Toppenish/span>,3910,2
132,72,Sales,"$1,999,285",29,2016 Quarter 1,Toppenish/span>,3910,2
133,81,Sales,"$433,652",59,2016 Quarter 1,Toppenish/span>,3910,2
134,92,Sales,$766,3,2016 Quarter 1,Toppenish/span>,3910,2
135,11,Sales,"$45,175",5,2016 Annual ,Toppenish/span>,3910,2
136,21,Sales,"$4,802",3,2016 Annual ,Toppenish/span>,3910,2
137,22,Sales,"$112,295",4,2016 Annual ,Toppenish/span>,3910,2
138,23,Sales,"$12,132,719",280,2016 Annual ,Toppenish/span>,3910,2
139,31,Sales,"$146,557",17,2016 Annual ,Toppenish/span>,3910,2
140,32,Sales,"$640,505",50,2016 Annual ,Toppenish/span>,3910,2
141,33,Sales,"$1,062,781",51,2016 Annual ,Toppenish/span>,3910,2
142,42,Sales,"$9,918,080",521,2016 Annual ,Toppenish/span>,3910,2
143,44,Sales,"$30,425,904",464,2016 Annual ,Toppenish/span>,3910,2
144,45,Sales,"$6,806,803",623,2016 Annual ,Toppenish/span>,3910,2
145,48,Sales,D,D,2016 Annual ,Toppenish/span>,3910,2
146,49,Sales,D,D,2016 Annual ,Toppenish/span>,3910,2
147,51,Sales,"$4,309,807",168,2016 Annual ,Toppenish/span>,3910,2
148,52,Sales,"$563,864",50,2016 Annual ,Toppenish/span>,3910,2
149,53,Sales,"$2,511,193",102,2016 Annual ,Toppenish/span>,3910,2
150,54,Sales,"$2,234,729",153,2016 Annual ,Toppenish/span>,3910,2
151,56,Sales,"$1,182,819",147,2016 Annual ,Toppenish/span>,3910,2
152,61,Sales,"$141,726",37,2016 Annual ,Toppenish/span>,3910,2
153,62,Sales,"$143,654",13,2016 Annual ,Toppenish/span>,3910,2
154,71,Sales,"$29,226",14,2016 Annual ,Toppenish/span>,3910,2
155,72,Sales,"$8,928,093",35,2016 Annual ,Toppenish/span>,3910,2
156,81,Sales,"$1,907,250",110,2016 Annual ,Toppenish/span>,3910,2
157,92,Sales,"$17,104",5,2016 Annual ,Toppenish/span>,3910,2
158,21,Sales,"$1,354",3,2015 Quarter 4,Toppenish/span>,3910,2
159,22,Sales,D,D,2015 Quarter 4,Toppenish/span>,3910,2
160,23,Sales,"$4,117,655",149,2015 Quarter 4,Toppenish/span>,3910,2
161,31,Sales,"$241,838",11,2015 Quarter 4,Toppenish/span>,3910,2
162,32,Sales,"$120,008",31,2015 Quarter 4,Toppenish/span>,3910,2
163,33,Sales,"$176,321",22,2015 Quarter 4,Toppenish/span>,3910,2
164,42,Sales,"$2,079,814",307,2015 Quarter 4,Toppenish/span>,3910,2
165,44,Sales,"$6,982,775",264,2015 Quarter 4,Toppenish/span>,3910,2
166,45,Sales,"$1,626,764",373,2015 Quarter 4,Toppenish/span>,3910,2
167,48,Sales,D,D,2015 Quarter 4,Toppenish/span>,3910,2
168,51,Sales,"$1,248,634",110,2015 Quarter 4,Toppenish/span>,3910,2
169,52,Sales,"$379,898",37,2015 Quarter 4,Toppenish/span>,3910,2
170,53,Sales,"$398,713",65,2015 Quarter 4,Toppenish/span>,3910,2
171,54,Sales,"$580,753",89,2015 Quarter 4,Toppenish/span>,3910,2
172,56,Sales,"$213,047",96,2015 Quarter 4,Toppenish/span>,3910,2
173,61,Sales,"$20,594",18,2015 Quarter 4,Toppenish/span>,3910,2
174,62,Sales,"$38,049",9,2015 Quarter 4,Toppenish/span>,3910,2
175,71,Sales,"$25,914",9,2015 Quarter 4,Toppenish/span>,3910,2
176,72,Sales,"$1,858,970",24,2015 Quarter 4,Toppenish/span>,3910,2
177,81,Sales,"$705,801",61,2015 Quarter 4,Toppenish/span>,3910,2
178,92,Sales,"$1,205",3,2015 Quarter 4,Toppenish/span>,3910,2
179,11,Sales,D,D,2015 Quarter 3,Toppenish/span>,3910,2
180,21,Sales,D,D,2015 Quarter 3,Toppenish/span>,3910,2
181,22,Sales,D,D,2015 Quarter 3,Toppenish/span>,3910,2
182,23,Sales,"$5,019,745",151,2015 Quarter 3,Toppenish/span>,3910,2
183,31,Sales,"$36,941",7,2015 Quarter 3,Toppenish/span>,3910,2
184,32,Sales,"$159,815",26,2015 Quarter 3,Toppenish/span>,3910,2
185,33,Sales,"$687,149",21,2015 Quarter 3,Toppenish/span>,3910,2
186,42,Sales,"$2,292,021",294,2015 Quarter 3,Toppenish/span>,3910,2
187,44,Sales,"$7,870,657",242,2015 Quarter 3,Toppenish/span>,3910,2
188,45,Sales,"$1,366,578",314,2015 Quarter 3,Toppenish/span>,3910,2
