,NAICS,Tax Type,Total Taxable,Units,Year,location_name,location_id,naicstyp
0,11,Sales,"$1,736",5,2018 Quarter 1,Stanwood/span>,3116,2
1,22,Sales,"$8,282",3,2018 Quarter 1,Stanwood/span>,3116,2
2,23,Sales,"$6,623,666",507,2018 Quarter 1,Stanwood/span>,3116,2
3,31,Sales,"$49,032",32,2018 Quarter 1,Stanwood/span>,3116,2
4,32,Sales,"$399,285",71,2018 Quarter 1,Stanwood/span>,3116,2
5,33,Sales,"$100,568",66,2018 Quarter 1,Stanwood/span>,3116,2
6,42,Sales,"$3,259,974",528,2018 Quarter 1,Stanwood/span>,3116,2
7,44,Sales,"$10,391,591",540,2018 Quarter 1,Stanwood/span>,3116,2
8,45,Sales,"$6,012,937",603,2018 Quarter 1,Stanwood/span>,3116,2
9,48,Sales,"$213,546",9,2018 Quarter 1,Stanwood/span>,3116,2
10,49,Sales,"$2,706",3,2018 Quarter 1,Stanwood/span>,3116,2
11,51,Sales,"$1,619,640",173,2018 Quarter 1,Stanwood/span>,3116,2
12,52,Sales,"$340,485",46,2018 Quarter 1,Stanwood/span>,3116,2
13,53,Sales,"$599,684",97,2018 Quarter 1,Stanwood/span>,3116,2
14,54,Sales,"$611,863",175,2018 Quarter 1,Stanwood/span>,3116,2
15,55,Sales,D,D,2018 Quarter 1,Stanwood/span>,3116,2
16,56,Sales,"$1,295,270",250,2018 Quarter 1,Stanwood/span>,3116,2
17,61,Sales,"$21,005",32,2018 Quarter 1,Stanwood/span>,3116,2
18,62,Sales,"$60,802",23,2018 Quarter 1,Stanwood/span>,3116,2
19,71,Sales,"$276,304",18,2018 Quarter 1,Stanwood/span>,3116,2
20,72,Sales,"$6,151,878",47,2018 Quarter 1,Stanwood/span>,3116,2
21,81,Sales,"$1,451,758",131,2018 Quarter 1,Stanwood/span>,3116,2
22,92,Sales,$848,3,2018 Quarter 1,Stanwood/span>,3116,2
23,11,Sales,"$13,078",8,2017 Quarter 4,Stanwood/span>,3116,2
24,21,Sales,D,D,2017 Quarter 4,Stanwood/span>,3116,2
25,22,Sales,D,D,2017 Quarter 4,Stanwood/span>,3116,2
26,23,Sales,"$8,123,901",551,2017 Quarter 4,Stanwood/span>,3116,2
27,31,Sales,"$92,690",46,2017 Quarter 4,Stanwood/span>,3116,2
28,32,Sales,"$400,433",84,2017 Quarter 4,Stanwood/span>,3116,2
29,33,Sales,"$143,995",86,2017 Quarter 4,Stanwood/span>,3116,2
30,42,Sales,"$3,172,047",559,2017 Quarter 4,Stanwood/span>,3116,2
31,44,Sales,"$11,712,709",764,2017 Quarter 4,Stanwood/span>,3116,2
32,45,Sales,"$7,153,584","1,036",2017 Quarter 4,Stanwood/span>,3116,2
33,48,Sales,"$91,105",9,2017 Quarter 4,Stanwood/span>,3116,2
34,49,Sales,"$7,035",3,2017 Quarter 4,Stanwood/span>,3116,2
35,51,Sales,"$1,724,221",185,2017 Quarter 4,Stanwood/span>,3116,2
36,52,Sales,"$378,344",46,2017 Quarter 4,Stanwood/span>,3116,2
37,53,Sales,"$788,643",104,2017 Quarter 4,Stanwood/span>,3116,2
38,54,Sales,"$911,936",228,2017 Quarter 4,Stanwood/span>,3116,2
39,55,Sales,D,D,2017 Quarter 4,Stanwood/span>,3116,2
40,56,Sales,"$1,241,151",287,2017 Quarter 4,Stanwood/span>,3116,2
41,61,Sales,"$39,032",38,2017 Quarter 4,Stanwood/span>,3116,2
42,62,Sales,"$76,140",30,2017 Quarter 4,Stanwood/span>,3116,2
43,71,Sales,"$257,623",26,2017 Quarter 4,Stanwood/span>,3116,2
44,72,Sales,"$6,175,674",51,2017 Quarter 4,Stanwood/span>,3116,2
45,81,Sales,"$1,633,685",165,2017 Quarter 4,Stanwood/span>,3116,2
46,92,Sales,"$1,714",5,2017 Quarter 4,Stanwood/span>,3116,2
47,11,Sales,"$82,870",13,2016 Quarter 4,Stanwood/span>,3116,2
48,21,Sales,D,D,2016 Quarter 4,Stanwood/span>,3116,2
49,22,Sales,"$23,682",3,2016 Quarter 4,Stanwood/span>,3116,2
50,23,Sales,"$4,502,138",538,2016 Quarter 4,Stanwood/span>,3116,2
