,NAICS,Tax Type,Total Taxable,Units,Year,location_name,location_id,naicstyp
0,11,Sales,"$77,763",5,2018 Quarter 1,Sedro Woolley/span>,2908,2
1,21,Sales,D,D,2018 Quarter 1,Sedro Woolley/span>,2908,2
2,23,Sales,"$8,047,475",355,2018 Quarter 1,Sedro Woolley/span>,2908,2
3,31,Sales,"$273,186",32,2018 Quarter 1,Sedro Woolley/span>,2908,2
4,32,Sales,"$678,143",63,2018 Quarter 1,Sedro Woolley/span>,2908,2
5,33,Sales,"$1,313,403",71,2018 Quarter 1,Sedro Woolley/span>,2908,2
6,42,Sales,"$4,221,518",547,2018 Quarter 1,Sedro Woolley/span>,2908,2
7,44,Sales,"$14,492,842",507,2018 Quarter 1,Sedro Woolley/span>,2908,2
8,45,Sales,"$3,313,035",616,2018 Quarter 1,Sedro Woolley/span>,2908,2
9,48,Sales,"$2,645",4,2018 Quarter 1,Sedro Woolley/span>,2908,2
10,49,Sales,"$11,920",3,2018 Quarter 1,Sedro Woolley/span>,2908,2
11,51,Sales,"$1,985,881",177,2018 Quarter 1,Sedro Woolley/span>,2908,2
12,52,Sales,"$387,541",35,2018 Quarter 1,Sedro Woolley/span>,2908,2
13,53,Sales,"$785,544",81,2018 Quarter 1,Sedro Woolley/span>,2908,2
14,54,Sales,"$626,251",162,2018 Quarter 1,Sedro Woolley/span>,2908,2
15,56,Sales,"$1,470,696",164,2018 Quarter 1,Sedro Woolley/span>,2908,2
16,61,Sales,"$44,621",32,2018 Quarter 1,Sedro Woolley/span>,2908,2
17,62,Sales,"$73,863",25,2018 Quarter 1,Sedro Woolley/span>,2908,2
18,71,Sales,"$232,583",15,2018 Quarter 1,Sedro Woolley/span>,2908,2
19,72,Sales,"$5,046,133",39,2018 Quarter 1,Sedro Woolley/span>,2908,2
20,81,Sales,"$1,981,735",121,2018 Quarter 1,Sedro Woolley/span>,2908,2
21,92,Sales,"$9,939",3,2018 Quarter 1,Sedro Woolley/span>,2908,2
22,11,Sales,"$22,742",8,2017 Quarter 4,Sedro Woolley/span>,2908,2
23,21,Sales,D,D,2017 Quarter 4,Sedro Woolley/span>,2908,2
24,23,Sales,"$6,303,595",382,2017 Quarter 4,Sedro Woolley/span>,2908,2
25,31,Sales,"$296,623",44,2017 Quarter 4,Sedro Woolley/span>,2908,2
26,32,Sales,"$563,842",75,2017 Quarter 4,Sedro Woolley/span>,2908,2
27,33,Sales,"$1,319,986",91,2017 Quarter 4,Sedro Woolley/span>,2908,2
28,42,Sales,"$4,361,002",597,2017 Quarter 4,Sedro Woolley/span>,2908,2
29,44,Sales,"$16,315,310",763,2017 Quarter 4,Sedro Woolley/span>,2908,2
30,45,Sales,"$3,632,116","1,039",2017 Quarter 4,Sedro Woolley/span>,2908,2
31,48,Sales,"$3,577",6,2017 Quarter 4,Sedro Woolley/span>,2908,2
32,49,Sales,D,D,2017 Quarter 4,Sedro Woolley/span>,2908,2
