,NAICS,Tax Type,Total Taxable,Units,Year,location_name,location_id,naicstyp
0,23,Sales,"$20,538",13,2018 Quarter 1,Bucoda/span>,3401,2
1,31,Sales,D,D,2018 Quarter 1,Bucoda/span>,3401,2
2,32,Sales,$81,4,2018 Quarter 1,Bucoda/span>,3401,2
3,33,Sales,D,D,2018 Quarter 1,Bucoda/span>,3401,2
4,42,Sales,"$25,122",34,2018 Quarter 1,Bucoda/span>,3401,2
5,44,Sales,"$93,983",63,2018 Quarter 1,Bucoda/span>,3401,2
6,45,Sales,"$65,403",108,2018 Quarter 1,Bucoda/span>,3401,2
7,51,Sales,"$57,264",43,2018 Quarter 1,Bucoda/span>,3401,2
8,52,Sales,D,D,2018 Quarter 1,Bucoda/span>,3401,2
9,53,Sales,"$8,533",8,2018 Quarter 1,Bucoda/span>,3401,2
10,54,Sales,"$6,204",13,2018 Quarter 1,Bucoda/span>,3401,2
11,56,Sales,"$12,129",13,2018 Quarter 1,Bucoda/span>,3401,2
12,61,Sales,D,D,2018 Quarter 1,Bucoda/span>,3401,2
13,71,Sales,D,D,2018 Quarter 1,Bucoda/span>,3401,2
14,72,Sales,D,D,2018 Quarter 1,Bucoda/span>,3401,2
15,81,Sales,"$12,486",7,2018 Quarter 1,Bucoda/span>,3401,2
16,92,Sales,D,D,2018 Quarter 1,Bucoda/span>,3401,2
17,23,Sales,"$48,205",11,2017 Quarter 4,Bucoda/span>,3401,2
18,31,Sales,D,D,2017 Quarter 4,Bucoda/span>,3401,2
19,32,Sales,$256,5,2017 Quarter 4,Bucoda/span>,3401,2
20,33,Sales,D,D,2017 Quarter 4,Bucoda/span>,3401,2
21,42,Sales,"$16,466",40,2017 Quarter 4,Bucoda/span>,3401,2
22,44,Sales,"$90,929",84,2017 Quarter 4,Bucoda/span>,3401,2
23,45,Sales,"$70,040",129,2017 Quarter 4,Bucoda/span>,3401,2
24,51,Sales,"$59,613",40,2017 Quarter 4,Bucoda/span>,3401,2
25,52,Sales,$699,4,2017 Quarter 4,Bucoda/span>,3401,2
26,53,Sales,"$8,618",9,2017 Quarter 4,Bucoda/span>,3401,2
27,54,Sales,"$4,799",10,2017 Quarter 4,Bucoda/span>,3401,2
28,56,Sales,"$7,565",19,2017 Quarter 4,Bucoda/span>,3401,2
29,61,Sales,D,D,2017 Quarter 4,Bucoda/span>,3401,2
30,72,Sales,D,D,2017 Quarter 4,Bucoda/span>,3401,2
31,81,Sales,"$5,258",9,2017 Quarter 4,Bucoda/span>,3401,2
32,23,Sales,"$14,715",16,2016 Quarter 4,Bucoda/span>,3401,2
33,32,Sales,$375,3,2016 Quarter 4,Bucoda/span>,3401,2
