,NAICS,Tax Type,Total Taxable,Units,Year,location_name,location_id,naicstyp
0,21,Sales,D,D,2018 Quarter 1,Nooksack/span>,3706,2
1,22,Sales,D,D,2018 Quarter 1,Nooksack/span>,3706,2
2,23,Sales,"$579,265",45,2018 Quarter 1,Nooksack/span>,3706,2
3,31,Sales,"$2,416",6,2018 Quarter 1,Nooksack/span>,3706,2
4,32,Sales,"$18,446",8,2018 Quarter 1,Nooksack/span>,3706,2
5,33,Sales,"$1,402",6,2018 Quarter 1,Nooksack/span>,3706,2
6,42,Sales,"$785,021",81,2018 Quarter 1,Nooksack/span>,3706,2
7,44,Sales,"$329,372",133,2018 Quarter 1,Nooksack/span>,3706,2
8,45,Sales,"$199,265",172,2018 Quarter 1,Nooksack/span>,3706,2
9,49,Sales,D,D,2018 Quarter 1,Nooksack/span>,3706,2
10,51,Sales,"$132,307",52,2018 Quarter 1,Nooksack/span>,3706,2
11,52,Sales,"$2,125",8,2018 Quarter 1,Nooksack/span>,3706,2
12,53,Sales,"$12,311",9,2018 Quarter 1,Nooksack/span>,3706,2
13,54,Sales,"$97,080",32,2018 Quarter 1,Nooksack/span>,3706,2
14,56,Sales,"$80,927",30,2018 Quarter 1,Nooksack/span>,3706,2
15,61,Sales,$984,5,2018 Quarter 1,Nooksack/span>,3706,2
16,71,Sales,D,D,2018 Quarter 1,Nooksack/span>,3706,2
17,72,Sales,"$209,882",3,2018 Quarter 1,Nooksack/span>,3706,2
18,81,Sales,"$441,571",20,2018 Quarter 1,Nooksack/span>,3706,2
19,11,Sales,D,D,2017 Quarter 4,Nooksack/span>,3706,2
20,21,Sales,D,D,2017 Quarter 4,Nooksack/span>,3706,2
21,22,Sales,D,D,2017 Quarter 4,Nooksack/span>,3706,2
22,23,Sales,"$2,095,811",55,2017 Quarter 4,Nooksack/span>,3706,2
23,31,Sales,"$2,485",10,2017 Quarter 4,Nooksack/span>,3706,2
24,32,Sales,"$6,535",12,2017 Quarter 4,Nooksack/span>,3706,2
25,33,Sales,"$1,948",8,2017 Quarter 4,Nooksack/span>,3706,2
26,42,Sales,"$725,010",92,2017 Quarter 4,Nooksack/span>,3706,2
27,44,Sales,"$408,810",202,2017 Quarter 4,Nooksack/span>,3706,2
28,45,Sales,"$235,406",288,2017 Quarter 4,Nooksack/span>,3706,2
29,48,Sales,D,D,2017 Quarter 4,Nooksack/span>,3706,2
30,49,Sales,D,D,2017 Quarter 4,Nooksack/span>,3706,2
31,51,Sales,"$149,174",55,2017 Quarter 4,Nooksack/span>,3706,2
32,52,Sales,"$2,502",9,2017 Quarter 4,Nooksack/span>,3706,2
33,53,Sales,"$38,367",16,2017 Quarter 4,Nooksack/span>,3706,2
34,54,Sales,"$86,469",33,2017 Quarter 4,Nooksack/span>,3706,2
35,56,Sales,"$48,312",37,2017 Quarter 4,Nooksack/span>,3706,2
36,61,Sales,"$3,206",4,2017 Quarter 4,Nooksack/span>,3706,2
37,71,Sales,"$14,813",3,2017 Quarter 4,Nooksack/span>,3706,2
