,NAICS,Tax Type,Total Taxable,Units,Year,location_name,location_id,naicstyp
0,23,Sales,"$94,571",25,2018 Quarter 1,Colton/span>,3803,2
1,31,Sales,"$7,593",6,2018 Quarter 1,Colton/span>,3803,2
2,32,Sales,"$3,310",6,2018 Quarter 1,Colton/span>,3803,2
3,33,Sales,"$13,421",6,2018 Quarter 1,Colton/span>,3803,2
4,42,Sales,"$62,767",64,2018 Quarter 1,Colton/span>,3803,2
5,44,Sales,"$84,449",91,2018 Quarter 1,Colton/span>,3803,2
6,45,Sales,"$147,188",129,2018 Quarter 1,Colton/span>,3803,2
7,48,Sales,D,D,2018 Quarter 1,Colton/span>,3803,2
8,49,Sales,D,D,2018 Quarter 1,Colton/span>,3803,2
9,51,Sales,"$38,490",38,2018 Quarter 1,Colton/span>,3803,2
10,52,Sales,"$4,902",6,2018 Quarter 1,Colton/span>,3803,2
11,53,Sales,"$20,955",11,2018 Quarter 1,Colton/span>,3803,2
12,54,Sales,"$28,800",26,2018 Quarter 1,Colton/span>,3803,2
13,56,Sales,"$24,083",13,2018 Quarter 1,Colton/span>,3803,2
14,61,Sales,"$1,050",4,2018 Quarter 1,Colton/span>,3803,2
15,62,Sales,D,D,2018 Quarter 1,Colton/span>,3803,2
16,81,Sales,"$7,925",8,2018 Quarter 1,Colton/span>,3803,2
17,92,Sales,D,D,2018 Quarter 1,Colton/span>,3803,2
18,11,Sales,D,D,2017 Quarter 4,Colton/span>,3803,2
19,22,Sales,D,D,2017 Quarter 4,Colton/span>,3803,2
20,23,Sales,"$113,470",37,2017 Quarter 4,Colton/span>,3803,2
21,31,Sales,"$9,671",6,2017 Quarter 4,Colton/span>,3803,2
22,32,Sales,"$3,460",8,2017 Quarter 4,Colton/span>,3803,2
23,33,Sales,"$13,186",4,2017 Quarter 4,Colton/span>,3803,2
24,42,Sales,"$66,752",71,2017 Quarter 4,Colton/span>,3803,2
25,44,Sales,"$72,825",120,2017 Quarter 4,Colton/span>,3803,2
26,45,Sales,"$119,897",176,2017 Quarter 4,Colton/span>,3803,2
27,48,Sales,D,D,2017 Quarter 4,Colton/span>,3803,2
28,51,Sales,"$44,455",45,2017 Quarter 4,Colton/span>,3803,2
29,52,Sales,"$4,747",9,2017 Quarter 4,Colton/span>,3803,2
30,53,Sales,"$31,458",11,2017 Quarter 4,Colton/span>,3803,2
31,54,Sales,"$60,891",26,2017 Quarter 4,Colton/span>,3803,2
32,56,Sales,"$14,325",16,2017 Quarter 4,Colton/span>,3803,2
33,61,Sales,$424,5,2017 Quarter 4,Colton/span>,3803,2
34,62,Sales,D,D,2017 Quarter 4,Colton/span>,3803,2
35,72,Sales,D,D,2017 Quarter 4,Colton/span>,3803,2
36,81,Sales,"$7,384",9,2017 Quarter 4,Colton/span>,3803,2
37,11,Sales,D,D,2016 Quarter 4,Colton/span>,3803,2
38,22,Sales,D,D,2016 Quarter 4,Colton/span>,3803,2
39,23,Sales,"$123,186",30,2016 Quarter 4,Colton/span>,3803,2
40,31,Sales,"$7,962",4,2016 Quarter 4,Colton/span>,3803,2
41,32,Sales,"$8,360",9,2016 Quarter 4,Colton/span>,3803,2
42,33,Sales,"$4,450",7,2016 Quarter 4,Colton/span>,3803,2
43,42,Sales,"$41,101",61,2016 Quarter 4,Colton/span>,3803,2
44,44,Sales,"$131,600",116,2016 Quarter 4,Colton/span>,3803,2
45,45,Sales,"$278,984",167,2016 Quarter 4,Colton/span>,3803,2
46,48,Sales,D,D,2016 Quarter 4,Colton/span>,3803,2
47,51,Sales,"$42,585",36,2016 Quarter 4,Colton/span>,3803,2
48,52,Sales,"$14,602",11,2016 Quarter 4,Colton/span>,3803,2
49,53,Sales,"$30,252",12,2016 Quarter 4,Colton/span>,3803,2
