,NAICS,Tax Type,Total Taxable,Units,Year,location_name,location_id,naicstyp
0,23,Sales,"$67,407",19,2018 Quarter 1,Oakesdale/span>,3810,2
1,31,Sales,$740,4,2018 Quarter 1,Oakesdale/span>,3810,2
2,32,Sales,"$2,808",7,2018 Quarter 1,Oakesdale/span>,3810,2
3,33,Sales,"$16,945",3,2018 Quarter 1,Oakesdale/span>,3810,2
4,42,Sales,"$73,182",62,2018 Quarter 1,Oakesdale/span>,3810,2
5,44,Sales,"$130,117",83,2018 Quarter 1,Oakesdale/span>,3810,2
6,45,Sales,"$209,295",139,2018 Quarter 1,Oakesdale/span>,3810,2
7,48,Sales,D,D,2018 Quarter 1,Oakesdale/span>,3810,2
8,49,Sales,D,D,2018 Quarter 1,Oakesdale/span>,3810,2
9,51,Sales,"$70,864",41,2018 Quarter 1,Oakesdale/span>,3810,2
10,52,Sales,"$1,301",8,2018 Quarter 1,Oakesdale/span>,3810,2
11,53,Sales,"$39,228",9,2018 Quarter 1,Oakesdale/span>,3810,2
12,54,Sales,"$9,147",16,2018 Quarter 1,Oakesdale/span>,3810,2
13,56,Sales,"$31,666",18,2018 Quarter 1,Oakesdale/span>,3810,2
14,61,Sales,D,D,2018 Quarter 1,Oakesdale/span>,3810,2
15,62,Sales,D,D,2018 Quarter 1,Oakesdale/span>,3810,2
16,71,Sales,D,D,2018 Quarter 1,Oakesdale/span>,3810,2
17,72,Sales,D,D,2018 Quarter 1,Oakesdale/span>,3810,2
18,81,Sales,"$5,837",11,2018 Quarter 1,Oakesdale/span>,3810,2
19,23,Sales,"$124,747",26,2017 Quarter 4,Oakesdale/span>,3810,2
20,31,Sales,$994,4,2017 Quarter 4,Oakesdale/span>,3810,2
21,32,Sales,"$3,610",9,2017 Quarter 4,Oakesdale/span>,3810,2
22,33,Sales,"$13,977",5,2017 Quarter 4,Oakesdale/span>,3810,2
23,42,Sales,"$56,402",64,2017 Quarter 4,Oakesdale/span>,3810,2
24,44,Sales,"$139,026",120,2017 Quarter 4,Oakesdale/span>,3810,2
25,45,Sales,"$222,431",199,2017 Quarter 4,Oakesdale/span>,3810,2
26,51,Sales,"$74,257",47,2017 Quarter 4,Oakesdale/span>,3810,2
27,52,Sales,"$1,932",5,2017 Quarter 4,Oakesdale/span>,3810,2
28,53,Sales,"$32,891",11,2017 Quarter 4,Oakesdale/span>,3810,2
29,54,Sales,"$11,367",18,2017 Quarter 4,Oakesdale/span>,3810,2
30,56,Sales,"$19,143",24,2017 Quarter 4,Oakesdale/span>,3810,2
31,61,Sales,$715,4,2017 Quarter 4,Oakesdale/span>,3810,2
32,62,Sales,$254,3,2017 Quarter 4,Oakesdale/span>,3810,2
33,71,Sales,D,D,2017 Quarter 4,Oakesdale/span>,3810,2
34,72,Sales,D,D,2017 Quarter 4,Oakesdale/span>,3810,2
35,81,Sales,"$7,594",12,2017 Quarter 4,Oakesdale/span>,3810,2
36,92,Sales,D,D,2017 Quarter 4,Oakesdale/span>,3810,2
37,11,Sales,D,D,2016 Quarter 4,Oakesdale/span>,3810,2
38,23,Sales,"$124,305",27,2016 Quarter 4,Oakesdale/span>,3810,2
39,31,Sales,"$1,208",5,2016 Quarter 4,Oakesdale/span>,3810,2
40,32,Sales,$984,4,2016 Quarter 4,Oakesdale/span>,3810,2
41,33,Sales,"$4,931",6,2016 Quarter 4,Oakesdale/span>,3810,2
42,42,Sales,"$27,121",46,2016 Quarter 4,Oakesdale/span>,3810,2
43,44,Sales,"$117,203",91,2016 Quarter 4,Oakesdale/span>,3810,2
44,45,Sales,"$167,553",171,2016 Quarter 4,Oakesdale/span>,3810,2
45,51,Sales,"$74,726",40,2016 Quarter 4,Oakesdale/span>,3810,2
46,52,Sales,"$2,071",8,2016 Quarter 4,Oakesdale/span>,3810,2
47,53,Sales,"$13,672",11,2016 Quarter 4,Oakesdale/span>,3810,2
48,54,Sales,"$9,109",18,2016 Quarter 4,Oakesdale/span>,3810,2
49,56,Sales,"$14,704",20,2016 Quarter 4,Oakesdale/span>,3810,2
50,61,Sales,$879,6,2016 Quarter 4,Oakesdale/span>,3810,2
51,62,Sales,D,D,2016 Quarter 4,Oakesdale/span>,3810,2
52,71,Sales,D,D,2016 Quarter 4,Oakesdale/span>,3810,2
53,81,Sales,"$6,935",9,2016 Quarter 4,Oakesdale/span>,3810,2
54,92,Sales,D,D,2016 Quarter 4,Oakesdale/span>,3810,2
55,23,Sales,"$252,035",27,2016 Quarter 3,Oakesdale/span>,3810,2
56,31,Sales,D,D,2016 Quarter 3,Oakesdale/span>,3810,2
57,32,Sales,"$8,194",6,2016 Quarter 3,Oakesdale/span>,3810,2
58,33,Sales,"$14,754",3,2016 Quarter 3,Oakesdale/span>,3810,2
59,42,Sales,"$23,615",53,2016 Quarter 3,Oakesdale/span>,3810,2
60,44,Sales,"$105,588",78,2016 Quarter 3,Oakesdale/span>,3810,2
61,45,Sales,"$150,185",120,2016 Quarter 3,Oakesdale/span>,3810,2
62,51,Sales,"$76,514",37,2016 Quarter 3,Oakesdale/span>,3810,2
63,52,Sales,"$25,983",8,2016 Quarter 3,Oakesdale/span>,3810,2
64,53,Sales,"$28,073",13,2016 Quarter 3,Oakesdale/span>,3810,2
65,54,Sales,"$5,050",17,2016 Quarter 3,Oakesdale/span>,3810,2
66,56,Sales,"$11,826",14,2016 Quarter 3,Oakesdale/span>,3810,2
67,61,Sales,D,D,2016 Quarter 3,Oakesdale/span>,3810,2
68,62,Sales,D,D,2016 Quarter 3,Oakesdale/span>,3810,2
69,71,Sales,D,D,2016 Quarter 3,Oakesdale/span>,3810,2
70,81,Sales,"$10,711",15,2016 Quarter 3,Oakesdale/span>,3810,2
71,23,Sales,"$101,390",21,2016 Quarter 2,Oakesdale/span>,3810,2
72,31,Sales,D,D,2016 Quarter 2,Oakesdale/span>,3810,2
73,32,Sales,"$8,117",6,2016 Quarter 2,Oakesdale/span>,3810,2
74,33,Sales,"$3,144",4,2016 Quarter 2,Oakesdale/span>,3810,2
75,42,Sales,"$91,071",53,2016 Quarter 2,Oakesdale/span>,3810,2
76,44,Sales,"$112,620",61,2016 Quarter 2,Oakesdale/span>,3810,2
77,45,Sales,"$117,120",128,2016 Quarter 2,Oakesdale/span>,3810,2
78,51,Sales,"$69,440",42,2016 Quarter 2,Oakesdale/span>,3810,2
79,52,Sales,"$1,695",8,2016 Quarter 2,Oakesdale/span>,3810,2
80,53,Sales,"$16,865",13,2016 Quarter 2,Oakesdale/span>,3810,2
81,54,Sales,"$1,321",14,2016 Quarter 2,Oakesdale/span>,3810,2
82,56,Sales,"$25,102",14,2016 Quarter 2,Oakesdale/span>,3810,2
83,61,Sales,D,D,2016 Quarter 2,Oakesdale/span>,3810,2
84,62,Sales,D,D,2016 Quarter 2,Oakesdale/span>,3810,2
85,71,Sales,D,D,2016 Quarter 2,Oakesdale/span>,3810,2
86,81,Sales,"$6,414",7,2016 Quarter 2,Oakesdale/span>,3810,2
87,23,Sales,"$47,052",16,2016 Quarter 1,Oakesdale/span>,3810,2
88,31,Sales,D,D,2016 Quarter 1,Oakesdale/span>,3810,2
89,32,Sales,"$3,827",6,2016 Quarter 1,Oakesdale/span>,3810,2
